Application                                                  Testcase           xsd  xml-compare        xpath
=============================================================================================================
W4 BPMN+ Composer V.9.4                                      C.1.0                0           45            0
W4 BPMN+ Composer V.9.4                                      A.3.0                0           62            0
W4 BPMN+ Composer V.9.4                                      A.4.1                0          165            0
W4 BPMN+ Composer V.9.4                                      A.2.0                0          119            0
W4 BPMN+ Composer V.9.4                                      C.2.0                0          697            0
W4 BPMN+ Composer V.9.4                                      A.4.0                0           98            0
W4 BPMN+ Composer V.9.4                                      B.1.0                0          114            0
W4 BPMN+ Composer V.9.4                                      A.1.0                0           67            0
W4 BPMN+ Composer V.9.4                                      C.1.1                0           39            1
W4 BPMN+ Composer V.9.4                                      B.2.0                0          680            0
W4 BPMN+ Composer V.9.4                                      C.3.0                0           64            0
Activiti Designer 5.14.1                                     A.3.0                0            5            0
Activiti Designer 5.14.1                                     A.2.0                0            3            0
Activiti Designer 5.14.1                                     A.1.0                0            1            0
Cardanit (prev. BeePMN) 2.21                                 C.1.0                0          612           66
Cardanit (prev. BeePMN) 2.21                                 A.3.0                0          162            0
Cardanit (prev. BeePMN) 2.21                                 A.2.0                0          147            0
Cardanit (prev. BeePMN) 2.21                                 C.2.0                0          224            0
Cardanit (prev. BeePMN) 2.21                                 C.4.0                0          641          108
Cardanit (prev. BeePMN) 2.21                                 A.1.0                0           74            0
Cardanit (prev. BeePMN) 2.21                                 C.1.1                0          379           30
Cardanit (prev. BeePMN) 2.21                                 C.3.0                0          499           55
actiBPM 3.E-8                                                A.3.0                0           65           16
actiBPM 3.E-8                                                A.4.1                0          188           40
actiBPM 3.E-8                                                A.2.0                0           57           16
actiBPM 3.E-8                                                A.4.0                0          124           22
actiBPM 3.E-8                                                A.1.0                0           31            8
OMNITRACKER BPMN 11.5                                        C.1.0                0          142          110
OMNITRACKER BPMN 11.5                                        A.3.0                0           49           44
OMNITRACKER BPMN 11.5                                        A.4.1                0          101           34
OMNITRACKER BPMN 11.5                                        A.2.0                0           47           42
